<<<<<<< HEAD
asset_id,asset_name,asset_type,material,diameter,installation_year,status,network_type,length,depth,zone,pressure_rating,location,geometry,Remaining_Years,Failure
A-00027,Asset_27,Pump,Plastic,121.8,1960,Active,Sewer,222.8,4.58,South,200,Melbourne CBD,"-37.809715,144.898785",0.0,0
A-00028,Asset_28,Sewer,Steel,442.3,1995,Active,Recycled Water,244.0,1.12,Central,100,Suburb A,"-37.742023,145.053814",20.50331944337917,0
A-00029,Asset_29,Sewer,Copper,148.6,1994,Active,Recycled Water,110.1,0.74,South,100,Suburb B,"-37.793458,144.957010",27.204836273928965,0
A-00030,Asset_30,Pipe,Copper,489.1,1950,Active,Water,62.2,0.58,North,250,Suburb A,"-37.841723,145.129095",0.0,1
A-00031,Asset_31,Pipe,Steel,201.6,1989,Active,Water,419.0,1.15,North,100,Suburb A,"-37.809718,145.000579",10.071612440472519,0
A-00032,Asset_32,Sewer,Concrete,132.0,1968,Active,Recycled Water,253.7,3.46,East,300,Suburb A,"-37.795834,144.979347",0.5015431074261718,0
A-00033,Asset_33,Pump,Steel,405.4,2021,Active,Recycled Water,12.1,3.77,Central,200,Suburb B,"-37.848782,144.848136",48.11235636504342,0
A-00034,Asset_34,Pump,Plastic,346.4,2021,Active,Water,402.5,4.04,Central,150,Suburb B,"-37.880293,145.102985",56.361075324451505,0
A-00035,Asset_35,Pipe,Steel,274.2,2010,Active,Recycled Water,490.5,1.6,South,100,Suburb B,"-37.855294,144.822269",29.245180925288054,0
A-00036,Asset_36,Sewer,Copper,299.9,1961,Active,Sewer,304.9,1.88,East,150,Suburb B,"-37.740497,144.861625",0.0,0
A-00037,Asset_37,Pipe,Steel,373.6,2010,Active,Sewer,254.3,2.67,Central,100,Suburb A,"-37.774971,144.935457",36.31127805277237,0
A-00038,Asset_38,Pipe,Concrete,152.8,1982,Active,Sewer,439.8,0.78,North,200,Rural Area,"-37.874704,144.965792",16.931124959366347,0
A-00039,Asset_39,Valve,Cast Iron,498.4,1994,Active,Recycled Water,476.5,3.25,South,300,Rural Area,"-37.897038,145.136418",13.458000562462878,0
A-00040,Asset_40,Valve,Steel,488.7,2018,Active,Water,378.5,4.93,West,200,Suburb B,"-37.797300,144.855664",41.38984231808319,0
A-00041,Asset_41,Valve,Concrete,342.6,1957,Inactive,Recycled Water,225.5,2.12,North,150,Suburb C,"-37.852604,144.979190",0.0,0
A-00042,Asset_42,Pump,Concrete,139.8,1974,Active,Recycled Water,298.1,3.89,East,100,Melbourne CBD,"-37.862226,144.907440",11.307650078685418,0
A-00043,Asset_43,Sewer,Copper,356.1,1995,Active,Water,352.0,2.75,Central,150,Suburb C,"-37.793123,145.133044",28.449821871332936,0
A-00044,Asset_44,Sewer,Concrete,82.5,1979,Active,Water,101.2,1.08,North,300,Suburb C,"-37.819632,145.086790",8.177093571610762,1
A-00045,Asset_45,Sewer,Concrete,63.8,1996,Inactive,Water,226.4,3.12,West,200,Suburb C,"-37.724663,144.886520",30.617220171079488,0
A-00046,Asset_46,Sewer,Concrete,166.0,1998,Active,Sewer,415.8,1.85,West,150,Rural Area,"-37.738562,145.102961",32.69940821633982,0
A-00047,Asset_47,Valve,Concrete,258.2,1996,Active,Recycled Water,329.1,0.65,East,150,Melbourne CBD,"-37.828613,145.195808",29.146564251320935,0
A-00048,Asset_48,Pump,Plastic,440.7,1967,Inactive,Water,208.5,3.36,North,300,Suburb C,"-37.847486,144.901921",0.0,1
A-00049,Asset_49,Pump,Plastic,377.2,2015,Active,Recycled Water,333.4,4.37,South,100,Suburb B,"-37.745548,144.973863",51.02994183770346,0
A-00050,Asset_50,Valve,Copper,384.2,2017,Inactive,Sewer,63.5,2.05,North,150,Rural Area,"-37.833841,144.871465",49.28558620059641,0
A-00051,Asset_51,Pump,Steel,241.5,1982,Active,Sewer,203.7,2.26,West,300,Suburb B,"-37.746934,145.114529",1.5032881481541143,1
A-00052,Asset_52,Valve,Concrete,205.7,1985,Inactive,Water,397.6,4.51,East,100,Suburb B,"-37.786687,145.182925",25.792952621363302,0
A-00053,Asset_53,Sewer,Steel,217.0,1968,Active,Water,114.2,4.16,East,100,Suburb C,"-37.836367,144.887848",0.0,1
A-00054,Asset_54,Valve,Steel,494.4,1977,Active,Recycled Water,97.1,3.72,South,200,Suburb B,"-37.764507,145.103363",0.0,1
A-00055,Asset_55,Sewer,Copper,68.0,1989,Active,Water,475.7,1.62,East,300,Melbourne CBD,"-37.855019,144.830644",15.857764548121454,0
A-00056,Asset_56,Sewer,Concrete,440.2,1964,Active,Recycled Water,108.9,4.6,East,100,Suburb B,"-37.737897,145.190601",0.0,0
A-00057,Asset_57,Pipe,Concrete,310.4,1990,Active,Water,134.2,1.19,East,200,Suburb C,"-37.771066,144.911147",29.88134968501677,0
A-00058,Asset_58,Valve,Cast Iron,247.4,1988,Inactive,Recycled Water,485.0,3.32,East,250,Suburb B,"-37.700665,145.157307",11.024067169149037,0
A-00059,Asset_59,Pipe,Steel,376.4,1951,Inactive,Recycled Water,368.7,0.63,East,300,Rural Area,"-37.797324,145.130129",0.0,1
A-00060,Asset_60,Valve,Steel,269.0,2012,Active,Recycled Water,351.3,3.4,West,250,Rural Area,"-37.736836,145.173920",32.64111888301472,0
A-00061,Asset_61,Valve,Plastic,443.0,1978,Inactive,Recycled Water,427.2,1.75,North,100,Rural Area,"-37.731815,145.057472",16.674508176108727,0
A-00062,Asset_62,Pipe,Cast Iron,455.3,2023,Active,Sewer,62.3,2.52,Central,300,Suburb A,"-37.778139,144.986943",42.87859566577759,0
A-00063,Asset_63,Pipe,Plastic,239.8,2015,Active,Recycled Water,354.4,2.05,East,200,Rural Area,"-37.774703,145.118087",48.525157991816194,0
A-00064,Asset_64,Valve,Plastic,174.6,2000,Active,Water,254.3,1.28,Central,100,Rural Area,"-37.706192,144.986915",41.722698945435056,0
A-00065,Asset_65,Pump,Plastic,316.6,2024,Active,Sewer,415.4,3.3,Central,300,Suburb A,"-37.785269,144.977922",48.28396552902344,0
A-00066,Asset_66,Sewer,Copper,460.6,1959,Active,Sewer,256.5,4.47,West,300,Rural Area,"-37.766302,145.051968",0.0,0
A-00067,Asset_67,Pipe,Copper,144.8,1963,Active,Recycled Water,312.0,4.82,East,250,Suburb C,"-37.896433,145.016465",0.0,0
A-00068,Asset_68,Sewer,Plastic,330.3,2000,Inactive,Sewer,241.5,1.37,Central,100,Rural Area,"-37.882303,144.810553",38.87129039088355,0
A-00069,Asset_69,Pump,Cast Iron,334.2,2022,Active,Recycled Water,241.7,3.73,East,200,Rural Area,"-37.741761,144.903460",43.39816046215302,0
A-00070,Asset_70,Pump,Steel,379.9,1988,Inactive,Water,385.1,3.49,South,200,Suburb A,"-37.831869,144.825634",10.823247105852067,0
A-00071,Asset_71,Pump,Cast Iron,109.2,1977,Active,Recycled Water,316.1,2.05,South,100,Suburb C,"-37.864100,145.106242",0.0,1
A-00072,Asset_72,Pipe,Concrete,372.1,1952,Active,Sewer,318.5,0.59,South,100,Suburb B,"-37.801294,145.152267",0.0,0
A-00073,Asset_73,Pump,Copper,459.1,2019,Active,Water,227.9,3.6,Central,150,Melbourne CBD,"-37.820552,144.907480",54.92317842032628,0
A-00074,Asset_74,Pipe,Steel,130.9,1976,Inactive,Recycled Water,267.9,4.75,South,250,Suburb C,"-37.830480,145.085109",0.0,1
A-00075,Asset_75,Pump,Steel,156.9,1951,Active,Water,374.1,3.34,West,100,Suburb B,"-37.788999,145.161676",0.0,1
A-00076,Asset_76,Sewer,Concrete,487.1,1987,Active,Water,413.8,2.46,West,100,Suburb C,"-37.779566,144.997207",22.47065181322627,0
A-00077,Asset_77,Sewer,Concrete,131.4,1952,Active,Sewer,349.8,2.86,Central,150,Suburb B,"-37.742849,145.179014",0.0,0
A-00078,Asset_78,Valve,Plastic,434.5,1965,Active,Water,462.4,1.4,East,150,Suburb B,"-37.828831,144.899950",3.2465579134929916,0
A-00079,Asset_79,Sewer,Copper,271.5,1989,Active,Sewer,411.1,3.88,North,300,Suburb C,"-37.776757,144.999549",17.678442155129716,0
A-00080,Asset_80,Valve,Copper,161.3,1951,Active,Water,283.1,3.86,East,200,Suburb A,"-37.702163,144.984945",0.0,0
A-00081,Asset_81,Sewer,Cast Iron,441.8,1990,Active,Recycled Water,337.3,1.15,East,250,Suburb C,"-37.885134,145.190948",9.723926380494559,0
A-00082,Asset_82,Pipe,Plastic,250.4,1961,Active,Water,463.5,4.45,East,300,Suburb C,"-37.731283,144.871300",0.0,0
A-00083,Asset_83,Sewer,Plastic,281.7,1984,Active,Recycled Water,311.5,1.71,East,100,Suburb B,"-37.719079,144.936267",22.907793434874737,0
A-00084,Asset_84,Valve,Plastic,211.7,2014,Active,Recycled Water,413.3,4.92,North,150,Melbourne CBD,"-37.824578,145.162557",45.36971311762896,0
A-00085,Asset_85,Valve,Plastic,316.8,2004,Active,Water,346.0,2.22,South,200,Suburb B,"-37.793977,144.855105",36.64123882918035,0
A-00086,Asset_86,Pump,Copper,123.6,1994,Active,Recycled Water,278.2,1.3,East,300,Rural Area,"-37.826189,145.088839",20.005766068063704,0
A-00087,Asset_87,Pipe,Copper,226.0,2011,Inactive,Water,124.7,2.08,West,200,Suburb C,"-37.865163,145.036092",47.283262255115034,0
A-00088,Asset_88,Sewer,Plastic,486.2,1998,Active,Water,215.9,2.48,Central,150,Suburb C,"-37.760945,144.937541",36.30410457678414,0
A-00089,Asset_89,Pump,Cast Iron,166.2,1974,Active,Recycled Water,484.0,0.81,Central,300,Suburb A,"-37.761224,145.153683",0.0,1
A-00090,Asset_90,Sewer,Steel,345.5,1972,Active,Recycled Water,330.6,3.1,West,300,Suburb B,"-37.805577,144.953164",0.0,1
A-00091,Asset_91,Sewer,Steel,196.3,1973,Active,Sewer,284.4,3.19,East,200,Suburb A,"-37.849768,145.041682",1.0870097199344877,1
A-00092,Asset_92,Pump,Cast Iron,398.1,1987,Active,Recycled Water,466.8,3.83,North,150,Suburb C,"-37.724030,144.929865",14.353640408859096,0
A-00093,Asset_93,Pump,Plastic,108.9,1977,Active,Sewer,295.3,0.63,South,100,Suburb B,"-37.820753,144.962650",14.318261573595471,0
A-00094,Asset_94,Pump,Copper,486.4,1970,Active,Recycled Water,265.4,2.94,Central,300,Suburb B,"-37.787838,144.891364",0.0,1
A-00095,Asset_95,Pump,Steel,254.2,2003,Inactive,Water,380.9,0.74,South,100,Rural Area,"-37.735558,144.918241",30.308303232754405,0
A-00096,Asset_96,Pump,Concrete,156.2,1967,Active,Recycled Water,357.8,3.66,North,150,Rural Area,"-37.758927,145.005286",1.442223446944966,0
A-00097,Asset_97,Sewer,Concrete,83.1,1985,Active,Water,100.6,0.75,Central,300,Melbourne CBD,"-37.782820,144.871843",18.21048544366284,0
A-00098,Asset_98,Pump,Cast Iron,126.4,1994,Active,Water,238.3,4.6,South,300,Rural Area,"-37.752995,144.875448",15.347499665704197,0
A-00099,Asset_99,Pipe,Plastic,283.9,2022,Active,Water,238.9,3.66,North,100,Suburb B,"-37.877305,145.018672",54.55349771007096,0
A-00100,Asset_100,Valve,Steel,201.7,2002,Active,Sewer,192.2,2.78,South,250,Rural Area,"-37.758141,144.820014",22.836435866663518,0
A-00101,Asset_101,Pump,Plastic,423.0,1979,Active,Recycled Water,261.1,2.49,East,100,Melbourne CBD,"-37.886121,145.121072",16.455548181357237,0
A-00102,Asset_102,Pump,Steel,243.9,2009,Active,Water,209.5,1.09,North,100,Suburb C,"-37.738193,144.898122",32.4809077927655,0
A-00103,Asset_103,Sewer,Cast Iron,161.9,1981,Active,Water,103.7,1.81,South,250,Rural Area,"-37.776954,144.977272",1.3864059763628396,1
A-00104,Asset_104,Pump,Cast Iron,327.7,2016,Active,Sewer,209.1,4.41,East,150,Suburb B,"-37.773461,145.145152",36.99017126915305,0
A-00105,Asset_105,Pump,Concrete,368.0,2016,Active,Recycled Water,40.8,4.57,East,150,Suburb C,"-37.884029,145.111194",52.647095803892036,0
A-00106,Asset_106,Pump,Plastic,125.2,1977,Active,Recycled Water,290.0,0.5,North,300,Suburb B,"-37.801394,145.025651",6.831208859121852,1
A-00107,Asset_107,Sewer,Concrete,125.4,1993,Active,Sewer,427.6,3.17,West,200,Suburb C,"-37.769214,145.169049",30.742259177888585,0
A-00108,Asset_108,Pump,Plastic,66.5,1990,Decommissioned,Sewer,364.0,3.74,Central,200,Suburb B,"-37.888656,144.811791",26.56260041763214,0
A-00109,Asset_109,Valve,Concrete,381.4,2012,Active,Recycled Water,183.4,3.28,North,300,Rural Area,"-37.864348,145.194579",40.77848041818535,0
A-00110,Asset_110,Sewer,Copper,348.7,1972,Active,Sewer,48.1,0.87,East,200,Rural Area,"-37.756985,145.045856",4.4608933349483815,0
A-00111,Asset_111,Valve,Copper,263.6,2024,Inactive,Recycled Water,105.1,1.48,East,100,Melbourne CBD,"-37.890592,145.151644",55.770799498022946,0
A-00112,Asset_112,Sewer,Copper,429.9,1997,Active,Recycled Water,275.0,1.63,North,100,Suburb C,"-37.737449,145.065920",30.47773400165373,0
A-00113,Asset_113,Pump,Copper,412.6,1981,Active,Water,107.5,4.24,West,250,Melbourne CBD,"-37.832174,144.828202",13.661290108357274,1
A-00114,Asset_114,Valve,Steel,313.4,2006,Active,Water,274.3,2.58,Central,250,Suburb A,"-37.783992,145.087878",20.73119793888806,0
A-00115,Asset_115,Sewer,Copper,440.7,1982,Active,Recycled Water,119.6,2.69,South,300,Rural Area,"-37.881152,145.053507",8.892825667083208,0
A-00116,Asset_116,Pipe,Cast Iron,142.6,1973,Active,Recycled Water,425.2,4.71,North,300,Suburb C,"-37.842727,145.105698",0.0,1
A-00117,Asset_117,Pump,Cast Iron,100.4,1988,Active,Recycled Water,201.6,3.37,Central,300,Melbourne CBD,"-37.792077,144.851615",11.986856809254247,0
A-00118,Asset_118,Sewer,Steel,171.4,1983,Active,Recycled Water,126.5,4.54,Central,100,Melbourne CBD,"-37.794696,144.958295",5.050523950328828,1
A-00119,Asset_119,Pipe,Copper,75.7,2005,Active,Recycled Water,407.1,2.55,East,200,Suburb A,"-37.863929,145.136606",36.859572781655295,0
A-00120,Asset_120,Sewer,Copper,289.0,1977,Inactive,Recycled Water,174.7,1.17,South,300,Melbourne CBD,"-37.897794,144.924851",11.221480718715712,1
A-00121,Asset_121,Pipe,Copper,471.5,1986,Active,Sewer,60.2,4.68,North,300,Suburb B,"-37.897481,144.838403",15.629216741297855,0
A-00122,Asset_122,Pump,Concrete,67.7,1956,Active,Recycled Water,287.4,2.56,East,100,Rural Area,"-37.840581,144.821708",0.0,0
A-00123,Asset_123,Valve,Plastic,104.9,2017,Inactive,Sewer,292.9,1.32,East,100,Melbourne CBD,"-37.780674,144.834745",55.13385366816586,0
A-00124,Asset_124,Pipe,Concrete,253.5,1986,Active,Sewer,358.8,1.86,West,100,Melbourne CBD,"-37.759657,144.821057",22.510442389812,0
A-00125,Asset_125,Sewer,Plastic,470.2,2005,Decommissioned,Recycled Water,123.9,0.73,Central,200,Suburb A,"-37.888138,144.922130",42.209962079905914,0
A-00126,Asset_126,Pump,Copper,192.3,2014,Active,Recycled Water,224.7,2.61,North,300,Suburb B,"-37.720686,145.056557",41.47268125472096,0
A-00127,Asset_127,Pipe,Copper,278.3,2014,Active,Sewer,144.8,4.34,North,150,Melbourne CBD,"-37.745974,144.856621",50.12447602323792,0
A-00128,Asset_128,Sewer,Concrete,68.7,1996,Active,Sewer,45.1,4.7,North,150,Rural Area,"-37.733175,144.803258",34.73885848276948,0
A-00129,Asset_129,Sewer,Concrete,116.8,1969,Active,Recycled Water,438.9,4.7,East,300,Rural Area,"-37.857389,145.046437",0.9223830819446561,0
A-00130,Asset_130,Sewer,Plastic,494.0,1968,Active,Recycled Water,365.8,1.06,West,300,Melbourne CBD,"-37.824951,145.193677",0.7596097550592678,1
A-00131,Asset_131,Pipe,Cast Iron,484.3,1978,Decommissioned,Sewer,154.2,2.22,South,300,Suburb B,"-37.893932,145.199439",2.209427649888706,1
A-00132,Asset_132,Pipe,Plastic,52.2,2023,Active,Sewer,301.7,0.63,East,300,Rural Area,"-37.775274,145.023483",54.283009159266065,0
A-00133,Asset_133,Pipe,Concrete,478.3,2009,Active,Sewer,104.6,4.35,South,200,Rural Area,"-37.888098,144.909332",42.3046372178525,0
A-00134,Asset_134,Valve,Concrete,337.6,1967,Inactive,Water,445.7,2.11,West,150,Suburb B,"-37.715067,144.941698",4.63133346059586,0
A-00135,Asset_135,Pipe,Steel,440.6,1984,Active,Sewer,61.9,3.34,Central,250,Suburb B,"-37.767669,145.199799",0.6828839472981278,1
A-00136,Asset_136,Pipe,Concrete,254.6,1992,Active,Water,6.9,3.72,North,150,Melbourne CBD,"-37.847386,145.030432",26.333041518366873,0
A-00137,Asset_137,Pipe,Steel,282.0,1960,Inactive,Recycled Water,253.5,2.43,South,150,Suburb C,"-37.760712,144.865851",0.0,1
A-00138,Asset_138,Valve,Cast Iron,270.0,1998,Active,Recycled Water,293.6,1.88,East,100,Suburb A,"-37.870265,144.982523",13.347863332131146,0
A-00139,Asset_139,Pipe,Plastic,350.1,1987,Active,Sewer,291.6,4.83,South,300,Suburb C,"-37.822837,145.085686",17.7573900960394,0
A-00140,Asset_140,Sewer,Plastic,112.8,2013,Inactive,Recycled Water,32.0,4.84,Central,300,Suburb C,"-37.886098,145.188867",43.89887821578343,0
A-00141,Asset_141,Pipe,Steel,63.5,2018,Active,Recycled Water,160.5,1.8,North,300,Rural Area,"-37.897145,145.040527",34.59219523531317,0
A-00142,Asset_142,Sewer,Plastic,188.6,1957,Active,Recycled Water,252.1,2.66,South,100,Suburb B,"-37.787473,144.853886",0.0,0
A-00143,Asset_143,Sewer,Concrete,367.1,1983,Active,Recycled Water,112.2,4.88,Central,200,Rural Area,"-37.869817,145.117071",18.56984550376817,0
A-00144,Asset_144,Sewer,Copper,140.8,1997,Active,Water,436.9,0.52,East,200,Suburb A,"-37.722488,144.913207",32.10191534115092,0
A-00145,Asset_145,Valve,Steel,353.0,2005,Inactive,Water,48.1,2.36,West,250,Melbourne CBD,"-37.812407,144.941998",28.568301411285532,1
A-00146,Asset_146,Valve,Plastic,486.5,2014,Active,Sewer,246.3,0.95,East,200,Suburb A,"-37.885491,145.069282",51.63672806955161,0
A-00147,Asset_147,Valve,Steel,92.3,1980,Active,Sewer,347.3,2.79,North,200,Rural Area,"-37.734961,144.921952",6.919948552140024,1
A-00148,Asset_148,Pipe,Steel,352.7,1953,Active,Sewer,134.6,0.61,East,300,Rural Area,"-37.701965,144.830341",0.0,1
A-00149,Asset_149,Sewer,Copper,249.7,1999,Active,Recycled Water,314.0,2.33,East,150,Rural Area,"-37.767642,144.979291",33.94797599444885,0
A-00150,Asset_150,Valve,Concrete,440.7,2018,Active,Recycled Water,415.5,1.49,East,200,Rural Area,"-37.810680,144.983058",56.5533042191177,0
A-00151,Asset_151,Valve,Steel,129.7,1979,Inactive,Water,99.2,2.9,East,200,Suburb C,"-37.848264,145.086225",3.3560145349561212,1
A-00152,Asset_152,Pipe,Plastic,361.7,2008,Active,Water,459.0,4.98,North,100,Melbourne CBD,"-37.755685,144.912959",47.66278605824071,0
A-00153,Asset_153,Valve,Cast Iron,427.2,2016,Active,Sewer,279.0,4.1,Central,250,Suburb C,"-37.732939,144.926738",38.007580219204506,0
A-00154,Asset_154,Pipe,Steel,475.1,2024,Active,Water,153.1,4.31,South,100,Rural Area,"-37.754981,144.848400",54.128681688676735,0
A-00155,Asset_155,Pump,Steel,357.5,1994,Active,Water,218.3,3.36,West,300,Suburb B,"-37.866260,144.926318",10.798003331045628,0
A-00156,Asset_156,Valve,Copper,273.7,1953,Active,Water,159.5,0.69,South,150,Suburb C,"-37.781225,145.058205",0.0,0
A-00157,Asset_157,Pump,Concrete,328.0,1975,Active,Water,363.9,1.43,South,250,Rural Area,"-37.820729,144.831136",4.819606930975844,1
A-00158,Asset_158,Pipe,Cast Iron,441.0,1976,Active,Water,399.2,4.66,West,100,Rural Area,"-37.825273,145.075507",2.8185199193056096,1
A-00159,Asset_159,Sewer,Plastic,306.8,1995,Active,Sewer,417.3,2.15,North,200,Melbourne CBD,"-37.765801,144.864079",27.784207254352463,0
A-00160,Asset_160,Valve,Cast Iron,63.7,2013,Active,Sewer,493.0,0.97,West,200,Suburb A,"-37.898443,145.101193",33.17717887989056,0
A-00161,Asset_161,Pipe,Plastic,468.9,2000,Active,Water,396.7,3.66,North,250,Suburb C,"-37.878726,144.832940",31.134593120935378,0
A-00162,Asset_162,Sewer,Concrete,360.3,1999,Active,Sewer,302.7,1.85,South,200,Suburb C,"-37.899460,144.973041",32.9005802562398,0
A-00163,Asset_163,Sewer,Plastic,354.4,1955,Active,Recycled Water,172.9,1.71,North,100,Suburb C,"-37.799347,145.055066",0.0,0
A-00164,Asset_164,Pump,Copper,147.1,2008,Inactive,Water,274.6,4.99,Central,100,Rural Area,"-37.840787,145.084170",40.92157325391621,0
A-00165,Asset_165,Pipe,Copper,346.5,1964,Active,Recycled Water,25.3,4.36,West,200,Melbourne CBD,"-37.866134,145.132796",0.0,0
A-00166,Asset_166,Sewer,Copper,227.2,1979,Decommissioned,Sewer,373.7,2.34,Central,200,Rural Area,"-37.785630,145.033556",10.76942741313757,0
A-00167,Asset_167,Valve,Copper,343.1,1991,Active,Sewer,225.7,4.91,South,300,Rural Area,"-37.858045,144.829643",20.41741275889592,0
A-00168,Asset_168,Valve,Cast Iron,98.0,1986,Active,Recycled Water,14.9,3.43,West,150,Suburb B,"-37.807055,145.046245",8.513861055236534,0
A-00169,Asset_169,Pump,Concrete,346.0,1991,Decommissioned,Sewer,35.9,3.84,South,250,Melbourne CBD,"-37.880991,145.180214",19.172467758040682,0
A-00170,Asset_170,Sewer,Plastic,499.7,1984,Active,Water,196.8,0.64,Central,100,Suburb C,"-37.703917,145.018183",20.061430554318875,0
A-00171,Asset_171,Pipe,Plastic,71.7,1955,Inactive,Recycled Water,293.8,1.05,South,250,Suburb A,"-37.709986,144.871778",0.0,1
A-00172,Asset_172,Valve,Copper,489.7,2017,Active,Water,234.8,3.35,West,300,Suburb C,"-37.894916,144.815764",46.08168522008467,0
A-00173,Asset_173,Sewer,Copper,233.1,1967,Active,Recycled Water,311.5,4.55,West,100,Rural Area,"-37.782498,144.824657",4.903491180516612,0
A-00174,Asset_174,Sewer,Steel,441.8,2022,Active,Sewer,242.7,3.31,South,300,Melbourne CBD,"-37.708291,144.856773",39.081859227188666,0
A-00175,Asset_175,Pump,Concrete,402.1,1978,Active,Recycled Water,332.5,1.1,West,300,Melbourne CBD,"-37.839055,145.129007",3.4403041849990377,0
A-00176,Asset_176,Valve,Cast Iron,305.2,2008,Active,Recycled Water,113.5,1.02,West,200,Melbourne CBD,"-37.856252,144.897187",28.991024440452577,0
A-00177,Asset_177,Valve,Plastic,382.3,1996,Active,Water,60.9,4.3,South,250,Suburb B,"-37.771538,144.910434",22.773779623658474,0
A-00178,Asset_178,Pipe,Steel,445.3,1966,Active,Sewer,300.2,1.13,Central,250,Suburb C,"-37.856510,144.901671",0.0,1
A-00179,Asset_179,Valve,Steel,231.9,1971,Active,Water,244.9,2.84,West,200,Suburb B,"-37.801871,145.186440",2.0634617536887383,1
A-00180,Asset_180,Pipe,Plastic,197.2,2017,Active,Sewer,18.3,0.67,West,250,Suburb A,"-37.733552,144.913844",42.34933763721072,0
A-00181,Asset_181,Valve,Cast Iron,350.4,2018,Active,Water,193.3,0.86,West,200,Rural Area,"-37.827325,144.985805",45.81228671019074,0
